ID Set,ID Partida,Lote,Data,Horário,Jogador 1,Jogador 2,Nº Set,Pontos J1,Pontos J2,Vencedor Set,Diferença J1,Total Set,J1 venceu?,J2 venceu?
P000011-S2,P000011,L002,16/07/2026,00:00,Victoria Kurtenko,Yana Mykhailyk,2,11,13,Yana Mykhailyk,-2,24,0,1
P000011-S3,P000011,L002,16/07/2026,00:00,Victoria Kurtenko,Yana Mykhailyk,3,12,14,Yana Mykhailyk,-2,26,0,1
P000012-S1,P000012,L002,16/07/2026,00:30,Dronova Ulana,Svitlana Yureneva,1,11,9,Dronova Ulana,2,20,1,0
P000012-S2,P000012,L002,16/07/2026,00:30,Dronova Ulana,Svitlana Yureneva,2,11,8,Dronova Ulana,3,19,1,0
P000012-S3,P000012,L002,16/07/2026,00:30,Dronova Ulana,Svitlana Yureneva,3,11,6,Dronova Ulana,5,17,1,0
P000013-S1,P000013,L002,16/07/2026,01:00,Anna Rzhevska,Yana Mykhailyk,1,6,11,Yana Mykhailyk,-5,17,0,1
P000013-S2,P000013,L002,16/07/2026,01:00,Anna Rzhevska,Yana Mykhailyk,2,5,11,Yana Mykhailyk,-6,16,0,1
P000013-S3,P000013,L002,16/07/2026,01:00,Anna Rzhevska,Yana Mykhailyk,3,12,10,Anna Rzhevska,2,22,1,0
P000013-S4,P000013,L002,16/07/2026,01:00,Anna Rzhevska,Yana Mykhailyk,4,8,11,Yana Mykhailyk,-3,19,0,1
P000014-S1,P000014,L002,16/07/2026,01:30,Svitlana Yureneva,Alina Kurtenko,1,7,11,Alina Kurtenko,-4,18,0,1
P000014-S2,P000014,L002,16/07/2026,01:30,Svitlana Yureneva,Alina Kurtenko,2,5,11,Alina Kurtenko,-6,16,0,1
P000014-S3,P000014,L002,16/07/2026,01:30,Svitlana Yureneva,Alina Kurtenko,3,5,11,Alina Kurtenko,-6,16,0,1
P000015-S1,P000015,L002,16/07/2026,02:00,Victoria Kurtenko,Dronova Ulana,1,3,11,Dronova Ulana,-8,14,0,1
P000015-S2,P000015,L002,16/07/2026,02:00,Victoria Kurtenko,Dronova Ulana,2,4,11,Dronova Ulana,-7,15,0,1
P000015-S3,P000015,L002,16/07/2026,02:00,Victoria Kurtenko,Dronova Ulana,3,1,11,Dronova Ulana,-10,12,0,1
P000016-S1,P000016,L002,16/07/2026,02:30,Anna Rzhevska,Svitlana Yureneva,1,11,8,Anna Rzhevska,3,19,1,0
P000016-S2,P000016,L002,16/07/2026,02:30,Anna Rzhevska,Svitlana Yureneva,2,11,13,Svitlana Yureneva,-2,24,0,1
P000016-S3,P000016,L002,16/07/2026,02:30,Anna Rzhevska,Svitlana Yureneva,3,9,11,Svitlana Yureneva,-2,20,0,1
P000016-S4,P000016,L002,16/07/2026,02:30,Anna Rzhevska,Svitlana Yureneva,4,7,11,Svitlana Yureneva,-4,18,0,1
P000017-S1,P000017,L002,16/07/2026,03:00,Dronova Ulana,Yana Mykhailyk,1,11,7,Dronova Ulana,4,18,1,0
P000017-S2,P000017,L002,16/07/2026,03:00,Dronova Ulana,Yana Mykhailyk,2,11,5,Dronova Ulana,6,16,1,0
P000017-S3,P000017,L002,16/07/2026,03:00,Dronova Ulana,Yana Mykhailyk,3,11,3,Dronova Ulana,8,14,1,0
P000018-S1,P000018,L002,16/07/2026,03:30,Victoria Kurtenko,Alina Kurtenko,1,11,9,Victoria Kurtenko,2,20,1,0
P000018-S2,P000018,L002,16/07/2026,03:30,Victoria Kurtenko,Alina Kurtenko,2,8,11,Alina Kurtenko,-3,19,0,1
P000018-S3,P000018,L002,16/07/2026,03:30,Victoria Kurtenko,Alina Kurtenko,3,9,11,Alina Kurtenko,-2,20,0,1
P000018-S4,P000018,L002,16/07/2026,03:30,Victoria Kurtenko,Alina Kurtenko,4,11,6,Victoria Kurtenko,5,17,1,0
P000018-S5,P000018,L002,16/07/2026,03:30,Victoria Kurtenko,Alina Kurtenko,5,2,11,Alina Kurtenko,-9,13,0,1
P000019-S1,P000019,L002,16/07/2026,04:00,Anna Rzhevska,Dronova Ulana,1,7,11,Dronova Ulana,-4,18,0,1
P000019-S2,P000019,L002,16/07/2026,04:00,Anna Rzhevska,Dronova Ulana,2,11,5,Anna Rzhevska,6,16,1,0
P000019-S3,P000019,L002,16/07/2026,04:00,Anna Rzhevska,Dronova Ulana,3,11,1,Anna Rzhevska,10,12,1,0
P000019-S4,P000019,L002,16/07/2026,04:00,Anna Rzhevska,Dronova Ulana,4,11,2,Anna Rzhevska,9,13,1,0
P000020-S1,P000020,L002,16/07/2026,04:30,Victoria Kurtenko,Svitlana Yureneva,1,11,8,Victoria Kurtenko,3,19,1,0
P000020-S2,P000020,L002,16/07/2026,04:30,Victoria Kurtenko,Svitlana Yureneva,2,9,11,Svitlana Yureneva,-2,20,0,1
P000020-S3,P000020,L002,16/07/2026,04:30,Victoria Kurtenko,Svitlana Yureneva,3,11,4,Victoria Kurtenko,7,15,1,0
P000020-S4,P000020,L002,16/07/2026,04:30,Victoria Kurtenko,Svitlana Yureneva,4,11,9,Victoria Kurtenko,2,20,1,0
P000021-S1,P000021,L003,16/07/2026,05:00,Yana Mykhailyk,Alina Kurtenko,1,11,8,Yana Mykhailyk,3,19,1,0
P000021-S2,P000021,L003,16/07/2026,05:00,Yana Mykhailyk,Alina Kurtenko,2,6,11,Alina Kurtenko,-5,17,0,1
P000021-S3,P000021,L003,16/07/2026,05:00,Yana Mykhailyk,Alina Kurtenko,3,11,4,Yana Mykhailyk,7,15,1,0
P000021-S4,P000021,L003,16/07/2026,05:00,Yana Mykhailyk,Alina Kurtenko,4,11,9,Yana Mykhailyk,2,20,1,0
P000022-S1,P000022,L003,16/07/2026,05:30,Anna Rzhevska,Victoria Kurtenko,1,13,11,Anna Rzhevska,2,24,1,0
P000022-S2,P000022,L003,16/07/2026,05:30,Anna Rzhevska,Victoria Kurtenko,2,12,10,Anna Rzhevska,2,22,1,0
P000022-S3,P000022,L003,16/07/2026,05:30,Anna Rzhevska,Victoria Kurtenko,3,12,10,Anna Rzhevska,2,22,1,0
P000023-S1,P000023,L003,16/07/2026,06:00,Dronova Ulana,Alina Kurtenko,1,11,4,Dronova Ulana,7,15,1,0
P000023-S2,P000023,L003,16/07/2026,06:00,Dronova Ulana,Alina Kurtenko,2,9,11,Alina Kurtenko,-2,20,0,1
P000023-S3,P000023,L003,16/07/2026,06:00,Dronova Ulana,Alina Kurtenko,3,11,8,Dronova Ulana,3,19,1,0
P000023-S4,P000023,L003,16/07/2026,06:00,Dronova Ulana,Alina Kurtenko,4,6,11,Alina Kurtenko,-5,17,0,1
P000023-S5,P000023,L003,16/07/2026,06:00,Dronova Ulana,Alina Kurtenko,5,12,10,Dronova Ulana,2,22,1,0
P000024-S1,P000024,L003,16/07/2026,06:30,Svitlana Yureneva,Yana Mykhailyk,1,9,11,Yana Mykhailyk,-2,20,0,1
P000024-S2,P000024,L003,16/07/2026,06:30,Svitlana Yureneva,Yana Mykhailyk,2,10,12,Yana Mykhailyk,-2,22,0,1
P000024-S3,P000024,L003,16/07/2026,06:30,Svitlana Yureneva,Yana Mykhailyk,3,11,13,Yana Mykhailyk,-2,24,0,1
P000025-S1,P000025,L003,17/07/2026,07:35,Kateryna Bondarenko,Gorchakova Anna,1,11,9,Kateryna Bondarenko,2,20,1,0
P000025-S2,P000025,L003,17/07/2026,07:35,Kateryna Bondarenko,Gorchakova Anna,2,13,11,Kateryna Bondarenko,2,24,1,0
P000025-S3,P000025,L003,17/07/2026,07:35,Kateryna Bondarenko,Gorchakova Anna,3,11,3,Kateryna Bondarenko,8,14,1,0
P000026-S1,P000026,L003,17/07/2026,08:05,Shevchuk Viktoria,Margarita Gordeets,1,11,9,Shevchuk Viktoria,2,20,1,0
P000026-S2,P000026,L003,17/07/2026,08:05,Shevchuk Viktoria,Margarita Gordeets,2,8,11,Margarita Gordeets,-3,19,0,1
P000026-S3,P000026,L003,17/07/2026,08:05,Shevchuk Viktoria,Margarita Gordeets,3,9,11,Margarita Gordeets,-2,20,0,1
P000026-S4,P000026,L003,17/07/2026,08:05,Shevchuk Viktoria,Margarita Gordeets,4,10,12,Margarita Gordeets,-2,22,0,1
P000027-S1,P000027,L003,17/07/2026,08:35,Oleksandra Ivchenko,Anastasiya Volgina,1,9,11,Anastasiya Volgina,-2,20,0,1
P000027-S2,P000027,L003,17/07/2026,08:35,Oleksandra Ivchenko,Anastasiya Volgina,2,8,11,Anastasiya Volgina,-3,19,0,1
P000027-S3,P000027,L003,17/07/2026,08:35,Oleksandra Ivchenko,Anastasiya Volgina,3,4,11,Anastasiya Volgina,-7,15,0,1
P000028-S1,P000028,L003,17/07/2026,09:05,Kateryna Bondarenko,Margarita Gordeets,1,5,11,Margarita Gordeets,-6,16,0,1
P000028-S2,P000028,L003,17/07/2026,09:05,Kateryna Bondarenko,Margarita Gordeets,2,11,6,Kateryna Bondarenko,5,17,1,0
P000028-S3,P000028,L003,17/07/2026,09:05,Kateryna Bondarenko,Margarita Gordeets,3,6,11,Margarita Gordeets,-5,17,0,1
P000028-S4,P000028,L003,17/07/2026,09:05,Kateryna Bondarenko,Margarita Gordeets,4,7,11,Margarita Gordeets,-4,18,0,1
P000029-S1,P000029,L003,17/07/2026,09:35,Anastasiya Volgina,Gorchakova Anna,1,11,8,Anastasiya Volgina,3,19,1,0
P000029-S2,P000029,L003,17/07/2026,09:35,Anastasiya Volgina,Gorchakova Anna,2,11,6,Anastasiya Volgina,5,17,1,0
P000029-S3,P000029,L003,17/07/2026,09:35,Anastasiya Volgina,Gorchakova Anna,3,7,11,Gorchakova Anna,-4,18,0,1
P000029-S4,P000029,L003,17/07/2026,09:35,Anastasiya Volgina,Gorchakova Anna,4,11,13,Gorchakova Anna,-2,24,0,1
P000029-S5,P000029,L003,17/07/2026,09:35,Anastasiya Volgina,Gorchakova Anna,5,11,9,Anastasiya Volgina,2,20,1,0
P000030-S1,P000030,L003,17/07/2026,10:05,Shevchuk Viktoria,Oleksandra Ivchenko,1,11,8,Shevchuk Viktoria,3,19,1,0
P000030-S2,P000030,L003,17/07/2026,10:05,Shevchuk Viktoria,Oleksandra Ivchenko,2,11,8,Shevchuk Viktoria,3,19,1,0
P000030-S3,P000030,L003,17/07/2026,10:05,Shevchuk Viktoria,Oleksandra Ivchenko,3,7,11,Oleksandra Ivchenko,-4,18,0,1
P000030-S4,P000030,L003,17/07/2026,10:05,Shevchuk Viktoria,Oleksandra Ivchenko,4,8,11,Oleksandra Ivchenko,-3,19,0,1
P000030-S5,P000030,L003,17/07/2026,10:05,Shevchuk Viktoria,Oleksandra Ivchenko,5,10,12,Oleksandra Ivchenko,-2,22,0,1
